uf,parquets,internacoes,atendimentos,tempo_segundos
AC,204,843223,844881,14.1
AL,204,2844294,2960272,21.1
AM,204,3049263,3052076,21.2
AP,204,661638,661638,12.6
BA,204,14122907,14277009,79.1
CE,204,8383557,8484423,48.7
DF,204,3429947,3437560,29.1
ES,204,3948529,3998702,35.3
GO,204,5994263,6163816,40.1
MA,204,7161154,7250404,45.6
MG,204,20751771,21005487,110.6
MS,204,2869013,2891068,27.5
MT,204,3239239,3264906,29.6
PA,204,8396331,8398861,53.0
PB,204,3413173,3491813,29.7
PE,204,9279518,9480518,54.2
PI,204,3676582,3701022,31.9
PR,204,13702029,14015201,84.5
RJ,204,11805628,12485902,82.8
RN,204,2927961,2972529,27.4
RO,204,1864965,1864965,21.3
RR,204,625800,625801,15.0
RS,204,12604636,12683710,79.7
SC,204,7824057,7898156,55.1
SE,204,1633447,1651201,23.4
SP,204,40707204,42392056,311.3
TO,204,1552074,1560215,27.3
