teste,tipo,status,falhas,universo,pct_universo
accepted_values_stg_internacoes_COMPLEX__0__1__2__3,domínio,pass,0,197312203,0.0000%
accepted_values_stg_internacoes_CONTRACEP2__0__1__2__3__4__5__6__7__8__9__10__11__12,domínio,pass,0,197312203,0.0000%
accepted_values_stg_internacoes_CONTRACEP1__0__1__2__3__4__5__6__7__8__9__10__11__12,domínio,pass,0,197312203,0.0000%
accepted_values_stg_internacoes_INSTRU__0__1__2__3__4,domínio,pass,0,197312203,0.0000%
accepted_values_stg_sexo_SEXO__1__3,domínio,pass,0,197312203,0.0000%
dbt_utils_accepted_range_stg_internacoes_ETNIA__264__0,domínio,pass,0,197312203,0.0000%
accepted_values_stg_internacoes_RACA_COR__0__1__2__3__4__5,domínio,pass,0,197312203,0.0000%
accepted_values_stg_internacoes_VINCPREV__0__1__2__3__4__5__6,domínio,pass,0,197312203,0.0000%
accepted_values_stg_internacoes_ESPEC__0__1__2__3__4__5__6__7__8__9__10__11__12__13__14__15__16__31__32__33__34__35__36__37__38__39__40__41__42__43__44__45__46__47__48__49__61__62__63__64__65__66__67__68__69__70__71__72__73__74__75__76__77__78__79__80__81__82__83__84__85__86__87__88__89__90__91__92__93__94__95,domínio,pass,0,197312203,0.0000%
internacies_insc_pn_sexo_aud2,regra de negócio,fail,3582,197312203,0.0018%
internacoes_morte_false_cid_morte_aud2,regra de negócio,pass,0,8501763,0.0000%
internacoes_uti_int_to_dias_perm_aud2,regra de negócio,pass,0,1096836,0.0000%
internacoes_uti_int_to_marca_uti_aud2,regra de negócio,fail,673568,1096836,61.4101%
relationships_stg_hospital_MUNIC_MOV__CO_MUNICIPIO_6D__source_main_municipios_,relacionamento,pass,0,197312203,0.0000%
internacoes_idade_aud2,regra de negócio,pass,0,197312203,0.0000%
relationships_stg_internacoes_CBOR__CBOR__ref_stg_cbor_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_CID_MORTE__CID__source_main_cid_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_CID_NOTIF__CID__source_main_cid_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacao_procedimento_PROC_REA__PROC_REA__ref_stg_procedimentos_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_COMPLEX__COMPLEX__ref_stg_complexidade_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_CONTRACEP2__CONTRACEPTIVO__ref_stg_contraceptivos_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_CONTRACEP1__CONTRACEPTIVO__ref_stg_contraceptivos_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_DIAGSEC1__CID__source_main_cid_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_DIAGSEC3__CID__source_main_cid_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_DIAGSEC2__CID__source_main_cid_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_DIAGSEC4__CID__source_main_cid_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_DIAGSEC6__CID__source_main_cid_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_DIAGSEC5__CID__source_main_cid_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_DIAGSEC7__CID__source_main_cid_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_DIAGSEC8__CID__source_main_cid_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_DIAGSEC9__CID__source_main_cid_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_DIAG_SECUN__CID__source_main_cid_,relacionamento,pass,0,197312203,0.0000%
internacoes_val_uti_marca_uti_aud2,regra de negócio,fail,95120,13569682,0.7010%
relationships_stg_internacoes_DIAG_PRINC__CID__ref_stg_cid_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_ESPEC__ESPEC__ref_stg_especialidade_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_ETNIA__ETNIA__ref_stg_etnia_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_INSTRU__INSTRU__ref_stg_instrucao_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_MUNIC_RES__CO_MUNICIPIO_6D__source_main_municipios_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_NACIONAL__NACIONAL__ref_stg_nacionalidade_,relacionamento,pass,0,197312203,0.0000%
unique_stg_cbor_DESCRICAO,unicidade,fail,73,2813,2.5951%
unique_stg_cid_DESCRICAO,unicidade,fail,293,14253,2.0557%
unique_stg_nacionalidade_DESCRICAO,unicidade,fail,1,332,0.3012%
unique_stg_especialidade_DESCRICAO,unicidade,fail,7,70,10.0000%
unique_stg_procedimentos_NOME_PROC,unicidade,fail,153,5394,2.8365%
unique_stg_sexo_DESCRICAO,unicidade,pass,0,3,0.0000%
relationships_stg_internacoes_VINCPREV__VINCPREV__ref_stg_vincprev_,relacionamento,pass,0,197312203,0.0000%
relationships_stg_internacoes_RACA_COR__RACA_COR__ref_stg_raca_cor_,relacionamento,pass,0,197312203,0.0000%
